Sr.No,url,Painting name,Artist Name,Height,Width,Location,Artist_Region,Views,Favorites,Painting_PopularityIndex,Price,Subject,Medium,Number of mediums,Pri12y medium,Published date,Size,Month,Day,Year,Date uploaded,Age of painting as on 8-Apr,Artist_artworks,Artist_followers,Artist_popularityIndex,Material,Number_materials,Pri12y_materials,Style,Number_styles,Pri12y_style
1101,https://www.saatchiart.com/art/Painting-3-of-4-the-same-place-in-four-seasons/344071/3419327/view,3 of 4 - the same place in four seasons Painting by Tadeusz Gazda,Tadeusz Gazda,15.7,11.8,Poland,Europe,237,7,0.03,610,Landscape ,Oil ,1,Oil ,Sat Dec 31 19:00:00 EST 2011,185.26,12,31,2011,40908,1925,410,409,0.17,Canvas ,1,Canvas ,"Expressionism, Figurative, Fine Art, Folk, Impressionism ",5,Expressionism
1102,https://www.saatchiart.com/art/Painting-4-of-4-the-same-place-in-four-seasons/344071/3419328/view,4 of 4 - the same place in four seasons Painting by Tadeusz Gazda,Tadeusz Gazda,15.7,11.8,Poland,Europe,200,4,0.02,610,Landscape ,Oil ,1,Oil ,Sat Dec 31 19:00:00 EST 2011,185.26,12,31,2011,40908,1925,410,409,0.17,Canvas ,1,Canvas ,"Expressionism, Figurative, Fine Art, Folk, Impressionism ",5,Expressionism
1103,https://www.saatchiart.com/art/Painting-September/335769/3154595/view,September Painting by 12ek jaskowiec,12ek jaskowiec,39.4,39.4,Poland,Europe,315,16,0.051,8700,People ,Acrylic ,1,Acrylic ,Sat Dec 31 19:00:00 EST 2011,1552.36,12,31,2011,40908,1925,8,4,0,"Canvas, Other ",2,Canvas,"Figurative, Fine Art, Impressionism ",3,Figurative
1104,https://www.saatchiart.com/art/Painting-Wind/745093/2366839/view,Wind Painting by Lyudmyla Bohuslavska,Lyudmyla Bohuslavska,39.4,59.1,Ukraine,Europe,1599,37,0.023,2650,Landscape ,Oil ,1,Oil ,Sat Dec 31 19:00:00 EST 2011,2328.54,12,31,2011,40908,1925,73,43,0.02,Canvas ,1,Canvas ,"Minimalism, Fine Art, Modern ",3,Minimalism
1105,https://www.saatchiart.com/art/Painting-Spring/975650/3509078/view,Spring Painting by Natali Khitrova,Natali Khitrova,7.9,7.9,Ukraine,Europe,34,1,0.029,445,Abstract ,"Watercolor, Color, Pencil, pen, Ink ",5,Watercolor,Sat Dec 31 19:00:00 EST 2011,62.41,12,31,2011,40908,1925,65,0,0,Paper ,1,Paper ,"Abstract, Conceptual, Fine Art, Modern, Art Deco ",5,Abstract
1106,https://www.saatchiart.com/art/Painting-Freedom/665921/3260373/view,Freedom Painting by Michela Sorrentino,Michela Sorrentino,60,30,Canada,North America,110,14,0.127,4410,Abstract ,"Oil, Wax ",2,Oil,Sat Dec 31 19:00:00 EST 2011,1800,12,31,2011,40908,1925,6,4,0,Wood ,1,Wood ,"Abstract, Abstract Expressionism, Modern, Fine Art ",4,Abstract
1107,https://www.saatchiart.com/art/Painting-Abstract-Art-Fifty-Eight/6631/2750751/view,Abstract Art Fifty-Eight Painting by Lynne Taetzsch,Lynne Taetzsch,30,40,United States,North America,462,21,0.045,2090,Abstract ,Acrylic ,1,Acrylic ,Sat Dec 31 19:00:00 EST 2011,1200,12,31,2011,40908,1925,115,33,0.01,Canvas ,1,Canvas ,"Abstract, Expressionism, Fine Art, Impressionism, Modern ",5,Abstract
1108,https://www.saatchiart.com/art/Painting-Autumn/868950/2912361/view,Autumn Painting by Barbara Eberhart,Barbara Eberhart,30,40,United States,North America,282,9,0.032,3850,Floral ,Oil ,1,Oil ,Sat Dec 31 19:00:00 EST 2011,1200,12,31,2011,40908,1925,24,1,0,Canvas ,1,Canvas ,"Fine Art, Expressionism, Conceptual ",3,Fine Art
1109,https://www.saatchiart.com/art/Painting-Knight-in-Shining-Armour/397093/1473165/view,Knight in Shining Armour Painting by Kristof Galas,Kristof Galas,52.8,47.1,United States,North America,1236,32,0.026,6550,Abstract ,"Paint, Acrylic, Household ",3,Paint,Sat Dec 31 19:00:00 EST 2011,2486.88,12,31,2011,40908,1925,24,8,0,"Canvas, Other ",2,Canvas,"Abstract, Conceptual, Fine Art, Modern ",4,Abstract
1110,https://www.saatchiart.com/art/Painting-Arizona/753482/3122187/view,Arizona Painting by kathiucia dias,kathiucia dias,30,40,United States,North America,282,16,0.057,3550,Nude ,Oil ,1,Oil ,Sat Dec 31 19:00:00 EST 2011,1200,12,31,2011,40908,1925,10,8,0,Canvas ,1,Canvas ,"Figurative, Fine Art, Conceptual, Impressionism, Realism ",5,Figurative
1111,https://www.saatchiart.com/art/Painting-Under-The-Bus/710643/2864964/view,Under The Bus Painting by Alvaro Labanino,Alvaro Labanino,30,30,United States,North America,510,9,0.018,2190,Transportation ,Oil ,1,Oil ,Sat Dec 31 19:00:00 EST 2011,900,12,31,2011,40908,1925,28,4,0,Canvas ,1,Canvas ,"Abstract, Expressionism, Fine Art, Modern ",4,Abstract
1112,https://www.saatchiart.com/art/Painting-The-Procession/768105/2358109/view,The Procession Painting by Janice Sztabnik,Janice Sztabnik,40,30,United States,North America,1015,29,0.029,3660,Abstract ,Oil ,1,Oil ,Sat Dec 31 19:00:00 EST 2011,1200,12,31,2011,40908,1925,173,198,0.08,Canvas ,1,Canvas ,"Abstract, Conceptual, Expressionism, Figurative, Fine Art ",5,Abstract
1113,https://www.saatchiart.com/art/Painting-Wunderkammer/730614/2276939/view,Wunderkammer Painting by 12c Roder,12c Roder,48,48,United States,North America,593,19,0.032,4810,Humor ,Oil ,1,Oil ,Sat Dec 31 19:00:00 EST 2011,2304,12,31,2011,40908,1925,12,48,0.02,Canvas ,1,Canvas ,"Expressionism, Fine Art, Folk, Realism, Surrealism ",5,Expressionism
1114,https://www.saatchiart.com/art/Painting-Wine-and-Talk/823783/2689681/view,Wine and Talk Painting by Michele West,Michele West,36,24,United States,North America,609,26,0.043,1100,Abstract ,Oil ,1,Oil ,Sat Dec 31 19:00:00 EST 2011,864,12,31,2011,40908,1925,91,42,0.02,Canvas ,1,Canvas ,"Abstract Expressionism, Figurative, Fine Art, Impressionism, Modern ",5,Abstract Expressionism
1115,https://www.saatchiart.com/art/Painting-Harmony/777160/2439722/view,Harmony Painting by Katherine Steichen Rosing,Katherine Steichen Rosing,28,44,United States,North America,435,18,0.041,2440,Landscape ,Acrylic ,1,Acrylic ,Sat Dec 31 19:00:00 EST 2011,1232,12,31,2011,40908,1925,22,3,0,Paper ,1,Paper ,"Abstract, Fine Art, Modern ",3,Abstract
1116,https://www.saatchiart.com/art/Painting-Sea-Horse/341145/2311341/view,Sea Horse Painting by Daria Bagrintseva,Daria Bagrintseva,44,74,United States,North America,867,11,0.013,25900,Animal ,"Acrylic, Metallic paint ",2,Acrylic,Sat Dec 31 19:00:00 EST 2011,3256,12,31,2011,40908,1925,261,205,0.08,Canvas ,1,Canvas ,"Art Deco, Figurative, Fine Art, Pop Art, Realism ",5,Art Deco
1117,https://www.saatchiart.com/art/Painting-Gothic-Princess/314982/2004980/view,Gothic Princess Painting by Fiona Maclean,Fiona Maclean,23,16,Australia,Oceania,2433,22,0.009,600,Women ,"Acrylic, watercolour ",2,Acrylic,Sat Dec 31 19:00:00 EST 2011,368,12,31,2011,40908,1925,230,647,0.27,Paper ,1,Paper ,"Impressionism, figurative, expressionism, Fine Art, illustration ",5,Impressionism
1118,https://www.saatchiart.com/art/Painting-Isabella/780788/2690364/view,Isabella Painting by Bolas Gauzy,Bolas Gauzy,32,28,Unknown,Unknown,1207,20,0.017,500,Portrait ,Oil ,1,Oil ,Sat Dec 31 19:00:00 EST 2011,896,12,31,2011,40908,1925,206,189,0.08,Canvas ,1,Canvas ,"Fine Art, Realism ",2,Fine Art
1119,https://www.saatchiart.com/art/Painting-Trip-beyond-the-town/949432/3389266/view,Trip beyond the town Painting by 12ianna Godici,12ianna Godici,17.7,26.8,Moldova,Europe,195,18,0.092,410,Landscape ,"aniline dyes on natural silk, Textile ",2,aniline dyes on natural silk,Sat Dec 31 19:00:00 EST 2011,474.36,12,31,2011,40908,1925,15,6,0,"Soft (Yarn, Cotton, Fabric) ",3,Soft (Yarn,"Fine Art, Realism ",2,Fine Art
1120,https://www.saatchiart.com/art/Painting-The-Balcony/291844/1400900/view,The Balcony Painting by Ahmet Murat Karayilan,Ahmet Murat Karayilan,39.4,70.9,Turkey,Europe,3288,34,0.01,3250,Home ,Mixed Media ,1,Mixed Media ,Sat Dec 31 19:00:00 EST 2011,2793.46,12,31,2011,40908,1925,32,336,0.14,Canvas ,1,Canvas ,"Surrealism, Figurative, Fine Art ",3,Surrealism
1121,https://www.saatchiart.com/art/Painting-Morning-Flower/5961/2253339/view,Morning Flower Painting by Rusudan Khizanishvili,Rusudan Khizanishvili,25.6,25.6,Georgia,Asia,4658,143,0.031,2750,Portrait ,Oil ,1,Oil ,Tue Dec 13 19:00:00 EST 2011,655.36,12,13,2011,40890,1943,428,1814,0.74,Canvas ,1,Canvas ,Fine Art ,1,Fine Art 
